MQ135,MQ3,MQ7,MQ4,DHT_temp,DHT_hum,flame,MQ135_MQ7_ratio,MQ3_MQ4_ratio,MQ135_MQ3_ratio,temp_x_MQ135,hum_x_MQ7,AQI_score,fire_risk,MQ135_missing,MQ3_missing,MQ7_missing,MQ4_missing,DHT_temp_missing,DHT_hum_missing,gas_class
0.3687357732603415,0.9672270703334762,0.0366663238762665,-0.6527533657682196,0.3934955014703726,-0.175521386916685,0.0,10.056249932627658,1.4817626982780223,0.3812293962200773,0.1450958680091437,-0.0064357240198986,0.2866642839568898,0.189319832272177,0.0,0.0,0.0,1.0,1.0,1.0,2
-0.0634527756578827,-0.0960989059014909,-0.1111463787814498,-0.7233281133912276,-1.4289422784001675,1.3010281459194335,1.0,-0.570888637712731,-0.1328564053656635,-0.6602792693983099,0.0906703538193897,-0.1446045671116887,-0.1502776164170089,0.1951757116226016,1.0,1.0,0.0,1.0,0.0,0.0,4
-0.0634527756578827,-0.0960989059014909,-0.2058117712461283,1.706460825488295,-0.7232010663232719,0.7998513445002023,0.0,-0.3083033928054958,-0.0563147118008296,-0.6602792693983099,0.0458891150169521,-0.1646188219451838,0.0643016597315397,-0.1636760459620192,1.0,1.0,0.0,1.0,0.0,0.0,3
1.1251711882395272,1.0099143505280384,0.060725838184782,-1.025755289064345,-0.1311651671567901,0.1602586576195807,0.0,18.52840065237403,0.9845558455695582,1.1141242557123496,-0.1475832669854417,0.009731841310317,0.5676935679504187,0.3113183230405001,0.0,0.0,0.0,1.0,1.0,1.0,0
0.0296440355110514,-0.6833477638562642,-0.4445239622940435,1.5852581740085334,-1.508399422303092,1.411802459982025,0.0,0.0666869985389989,-0.4310637497389974,0.0433805357951694,-0.0447150460396023,-0.6275800234876876,-0.0996433098541919,-0.292786673807303,0.0,0.0,0.0,1.0,1.0,1.0,5
-1.4180168448801485,-1.2240533129873858,0.2411721954986483,0.0932504808240313,1.2460690879895095,-1.396539730684923,0.0,-5.879661883437191,-13.126368634265605,-1.1584590894658786,-1.7669469566535685,-0.3368065529503738,-0.7303406938175391,-0.1761912358661425,0.0,0.0,0.0,1.0,1.0,1.0,1
0.9817092991917504,0.9387688835371012,0.6501839387434118,-1.025755289064345,-0.1311651671567901,0.1602586576195807,0.0,1.5098924024433162,0.9151968099492812,1.0457400864766366,-0.1287660643278612,0.1041976052288309,0.6729171491007095,0.2682797563261671,0.0,0.0,0.0,1.0,1.0,1.0,0
-1.1441350566980295,-1.3094278733765103,0.1810234097273595,0.0932504808240313,1.2460690879895095,-1.396539730684923,0.0,-6.320335795715114,-14.041898979035452,-0.8737664793871149,-1.4256713266365395,-0.2528063838683131,-0.655907526353903,-0.0940266994115069,0.0,0.0,0.0,1.0,1.0,1.0,1
0.2252738842125649,-0.3133913355033913,-1.5272021061772414,1.5852581740085334,-1.508399422303092,1.411802459982025,0.0,0.1475074816842472,-0.1976909142944372,0.7188238469543785,-0.3398029968062067,-2.1561076903907592,-0.2722035278679713,-0.2340977191968489,0.0,0.0,0.0,1.0,1.0,1.0,5
1.50338889572912,0.9785101166642816,1.530846898906391,-0.6527533657682196,0.3934955014703726,-0.175521386916685,0.0,0.9820727903615152,1.499047984937923,1.5364583117178403,0.5915767674299198,-0.2686963708531561,1.1910363147195997,0.5297157690128105,0.0,0.0,0.0,1.0,1.0,1.0,2
-1.0154969715903142,-0.6691186704580767,0.3614697670412258,0.0932504808240313,1.2460690879895095,-1.396539730684923,0.0,-2.809347433272513,-7.17542139326158,-1.5176612143162806,-1.265379385245652,-0.5048068911144953,-0.4222565445329702,-0.0554352738791923,0.0,0.0,0.0,1.0,1.0,1.0,1
-0.0634527756578827,-0.0960989059014909,-0.2290315844921815,1.706460825488295,-1.0368638272463369,1.1339692121130236,0.0,-0.2770469354767677,-0.0563147118008296,-0.6602792693983099,0.0657918878180355,-0.2597147654155965,0.0573357157577237,-0.2264085981466322,1.0,1.0,0.0,1.0,0.0,0.0,3
-0.0634527756578827,-0.0960989059014909,-0.0718513102112058,-0.7233281133912276,-0.7232010663232719,0.2058640242996334,1.0,-0.883100007102999,-0.1328564053656635,-0.6602792693983099,0.0458891150169521,-0.0147915998712801,-0.1384890958459358,0.3363239540379808,1.0,1.0,0.0,1.0,0.0,0.0,4
0.3165678136066046,-0.6548895770598893,-0.1558097905918575,1.5852581740085334,-1.508399422303092,1.411802459982025,0.0,2.031745121144055,-0.4131119931663389,0.4833903932895567,-0.4775107071639554,-0.2199726456468686,0.10743209025396,-0.206709540378637,0.0,0.0,0.0,1.0,1.0,1.0,5
-1.378890875139846,-1.0959914724036992,0.2411721954986483,0.0932504808240313,1.2460690879895095,-1.396539730684923,0.0,-5.717430049756811,-11.753073117110828,-1.2581207534351966,-1.7181932952225645,-0.3368065529503738,-0.6890779378046806,-0.1644534449440518,0.0,0.0,0.0,1.0,1.0,1.0,1
-0.0634527756578827,-0.0960989059014909,-0.0146948468363056,-0.7233281133912276,1.7468931759458617,-1.427601106251934,1.0,-4.317735232591344,-0.1328564053656635,-0.6602792693983099,-0.1108452207915791,0.0209783795997126,-0.1213421568334657,0.8303428024918076,1.0,1.0,0.0,1.0,0.0,0.0,4
-1.6006047036682278,-1.6651552083311958,0.1208746239560707,0.0932504808240313,1.2460690879895095,-1.396539730684923,0.0,-13.241749256656806,-17.856608748909828,-0.9612339645133589,-1.994464043331588,-0.1688062147862524,-0.9276854878643062,-0.2309675935025663,0.0,0.0,0.0,1.0,1.0,1.0,1
0.4209037329140785,0.9387688835371012,0.4937970957380611,-1.025755289064345,-0.1311651671567901,0.1602586576195807,0.0,0.8523802269528193,0.9151968099492812,0.4483566636460424,-0.055207908484592,0.0791352596994292,0.4016788696880355,0.1000380864428655,0.0,0.0,0.0,1.0,1.0,1.0,0
-0.2442377526710674,-0.6548895770598893,-1.0941308486239625,1.5852581740085334,-1.508399422303092,1.411802459982025,0.0,-0.2232251560707548,-0.4131119931663389,-0.3729443684585678,0.3684080850336436,-1.5446966236295303,-0.3983864536667402,-0.3749512102619386,0.0,0.0,0.0,1.0,1.0,1.0,5
-0.0634527756578827,-0.0960989059014909,-0.1915226554024033,-0.7233281133912276,0.3354107517920712,-0.3881232959009368,1.0,-0.3313051618849091,-0.1328564053656635,-0.6602792693983099,-0.0212827431867041,0.0743344042544801,-0.174390499403295,0.5480463176610495,1.0,1.0,0.0,1.0,0.0,0.0,4
-0.0634527756578827,-0.0960989059014909,-0.2290315844921815,-0.7233281133912276,-0.0174598542463773,-1.03779692737031,1.0,-0.2770469354767677,-0.1328564053656635,-0.6602792693983099,0.0011078762145147,0.2376882746567396,-0.1856431781302285,0.4774721964533597,1.0,1.0,0.0,1.0,0.0,0.0,4
0.3035258236931704,-0.2137876817160794,-0.7332381339962296,1.5852581740085334,-1.508399422303092,1.411802459982025,0.0,0.4139520241355955,-0.1348597662901325,1.419746926061623,-0.4578381771128484,-1.0351874013285065,0.0172071703360367,-0.2106221373526673,0.0,0.0,0.0,1.0,1.0,1.0,5
